time,wave_height,wave_period,wind_wave_peak_period,wave_direction,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,secondary_swell_wave_height,secondary_swell_wave_period,secondary_swell_wave_direction,sea_level_height_msl,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,invert_barometer_height
2023-11-26 00:00:00,0.72,7.35,,149,0.02,78,0.45,0.62,153,6.0,,,,,-0.02,22.4,0.3,45,-0.09
2023-11-26 01:00:00,0.72,7.35,,149,0.02,70,0.25,0.6,153,6.0,,,,,0.16,22.4,0.3,45,-0.09
2023-11-26 02:00:00,0.7,7.35,,148,0.0,63,0.1,0.6,152,6.0,,,,,0.29,22.4,0.3,45,-0.09
2023-11-26 03:00:00,0.7,7.35,,148,0.0,55,0.0,0.58,152,6.0,,,,,0.34,22.4,0.3,45,-0.09
2023-11-26 04:00:00,0.68,7.3,,147,0.0,48,0.0,0.58,151,6.0,,,,,0.32,22.4,0.4,90,-0.08
2023-11-26 05:00:00,0.68,7.3,,146,0.0,40,0.0,0.56,150,5.95,,,,,0.26,22.4,0.4,90,-0.08
2023-11-26 06:00:00,0.66,7.25,,145,0.0,33,0.0,0.56,149,5.95,,,,,0.17,22.4,0.4,90,-0.07
2023-11-26 07:00:00,0.66,7.2,,144,0.0,34,0.15,0.54,150,5.95,,,,,0.06,22.4,0.4,90,-0.07
2023-11-26 08:00:00,0.64,7.2,,143,0.02,35,0.3,0.54,151,5.95,,,,,-0.06,22.4,0.4,90,-0.07
2023-11-26 09:00:00,0.64,7.15,,142,0.02,36,0.45,0.52,152,6.05,,,,,-0.17,22.5,0.4,90,-0.08
2023-11-26 10:00:00,0.64,7.15,,142,0.02,35,0.5,0.52,152,6.4,,,,,-0.25,22.5,0.4,90,-0.08
2023-11-26 11:00:00,0.64,7.15,,141,0.04,34,0.5,0.52,152,6.85,,,,,-0.25,22.5,0.4,117,-0.09
2023-11-26 12:00:00,0.64,7.15,,141,0.04,33,0.6,0.52,152,7.2,,,,,-0.18,22.5,0.4,117,-0.09
2023-11-26 13:00:00,0.64,7.1,,140,0.06,37,0.9,0.5,152,7.3,,,,,-0.05,22.6,0.4,153,-0.09
2023-11-26 14:00:00,0.62,7.05,,140,0.06,41,1.35,0.5,152,7.3,,,,,0.06,22.8,0.4,153,-0.09
2023-11-26 15:00:00,0.62,7.0,,139,0.08,45,1.65,0.48,152,7.15,,,,,0.09,22.9,0.6,162,-0.08
2023-11-26 16:00:00,0.62,6.9,,138,0.12,48,1.8,0.48,152,6.8,,,,,0.05,23.0,0.6,162,-0.08
