height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.0;0;0.0;0.0;0.0;0.0;1652756400;2022-05-17 03:00:00+00:00
0.29696;7;0.0777;0.69722;68.50732;61.82433;1652756400;2022-05-17 03:00:00+00:00
0.78147;4;0.0;0.0;272.69189;258.190735;1652756400;2022-05-17 03:00:00+00:00
1.62331;12;0.6003;453.66483;140.1626;133.688535;1652756400;2022-05-17 03:00:00+00:00
1.08769;9;0.299;53.1977;183.19678;174.51997999999998;1652756400;2022-05-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652756400;2022-05-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652760000;2022-05-17 04:00:00+00:00
0.29696;7;0.0777;0.69722;68.50732;61.82433;1652760000;2022-05-17 04:00:00+00:00
0.78147;4;0.0;0.0;272.69189;258.190735;1652760000;2022-05-17 04:00:00+00:00
1.62331;12;0.6003;453.66483;140.1626;133.688535;1652760000;2022-05-17 04:00:00+00:00
1.08769;9;0.299;53.1977;183.19678;174.51997999999998;1652760000;2022-05-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652760000;2022-05-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652763600;2022-05-17 05:00:00+00:00
0.29696;7;0.0777;0.69722;68.50732;61.82433;1652763600;2022-05-17 05:00:00+00:00
0.78147;4;0.0;0.0;272.69189;258.190735;1652763600;2022-05-17 05:00:00+00:00
1.62331;12;0.6003;453.66483;140.1626;133.688535;1652763600;2022-05-17 05:00:00+00:00
1.08769;9;0.299;53.1977;183.19678;174.51997999999998;1652763600;2022-05-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652763600;2022-05-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652767200;2022-05-17 06:00:00+00:00
0.26681;7;0.0744;0.53882;68.28253;62.16491499999999;1652767200;2022-05-17 06:00:00+00:00
0.86749;4;0.0;0.0;277.28241;262.02044500000005;1652767200;2022-05-17 06:00:00+00:00
1.47417;12;0.5785;348.58568;140.87506;134.18098999999998;1652767200;2022-05-17 06:00:00+00:00
1.13855;9;0.3231;63.09909;184.74127;177.05701499999998;1652767200;2022-05-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652767200;2022-05-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652770800;2022-05-17 07:00:00+00:00
0.26681;7;0.0744;0.53882;68.28253;62.16491499999999;1652770800;2022-05-17 07:00:00+00:00
0.86749;4;0.0;0.0;277.28241;262.02044500000005;1652770800;2022-05-17 07:00:00+00:00
1.47417;12;0.5785;348.58568;140.87506;134.18098999999998;1652770800;2022-05-17 07:00:00+00:00
1.13855;9;0.3231;63.09909;184.74127;177.05701499999998;1652770800;2022-05-17 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652770800;2022-05-17 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652774400;2022-05-17 08:00:00+00:00
0.26681;7;0.0744;0.53882;68.28253;62.16491499999999;1652774400;2022-05-17 08:00:00+00:00
0.86749;4;0.0;0.0;277.28241;262.02044500000005;1652774400;2022-05-17 08:00:00+00:00
1.47417;12;0.5785;348.58568;140.87506;134.18098999999998;1652774400;2022-05-17 08:00:00+00:00
1.13855;9;0.3231;63.09909;184.74127;177.05701499999998;1652774400;2022-05-17 08:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652774400;2022-05-17 08:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652778000;2022-05-17 09:00:00+00:00
0.25181;7;0.0785;0.5143;70.22986;63.358965000000005;1652778000;2022-05-17 09:00:00+00:00
0.81123;4;0.0;0.0;282.49207;268.27686;1652778000;2022-05-17 09:00:00+00:00
1.23164;12;0.5536;226.99827;140.02795;133.60295;1652778000;2022-05-17 09:00:00+00:00
1.10964;8;0.3415;58.20594;185.55469;177.752155;1652778000;2022-05-17 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652778000;2022-05-17 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652781600;2022-05-17 10:00:00+00:00
