timestamp;utcOffset;type;height;datetime_utc
1648782000;-3;NORMAL;0.45;2022-04-01 03:00:00+00:00
1648785600;-3;NORMAL;0.67;2022-04-01 04:00:00+00:00
1648789200;-3;NORMAL;0.79;2022-04-01 05:00:00+00:00
1648791401;-3;HIGH;0.81;2022-04-01 05:36:41+00:00
1648792800;-3;NORMAL;0.81;2022-04-01 06:00:00+00:00
1648796400;-3;NORMAL;0.74;2022-04-01 07:00:00+00:00
1648800000;-3;NORMAL;0.61;2022-04-01 08:00:00+00:00
1648803600;-3;NORMAL;0.48;2022-04-01 09:00:00+00:00
1648807200;-3;NORMAL;0.35;2022-04-01 10:00:00+00:00
1648810800;-3;NORMAL;0.24;2022-04-01 11:00:00+00:00
1648814400;-3;NORMAL;0.15;2022-04-01 12:00:00+00:00
1648816708;-3;LOW;0.13;2022-04-01 12:38:28+00:00
1648818000;-3;NORMAL;0.14;2022-04-01 13:00:00+00:00
1648821600;-3;NORMAL;0.28;2022-04-01 14:00:00+00:00
1648825200;-3;NORMAL;0.52;2022-04-01 15:00:00+00:00
1648828800;-3;NORMAL;0.74;2022-04-01 16:00:00+00:00
1648832400;-3;NORMAL;0.88;2022-04-01 17:00:00+00:00
1648834600;-3;HIGH;0.9;2022-04-01 17:36:40+00:00
1648836000;-3;NORMAL;0.89;2022-04-01 18:00:00+00:00
1648839600;-3;NORMAL;0.81;2022-04-01 19:00:00+00:00
1648843200;-3;NORMAL;0.66;2022-04-01 20:00:00+00:00
1648846800;-3;NORMAL;0.5;2022-04-01 21:00:00+00:00
1648850400;-3;NORMAL;0.35;2022-04-01 22:00:00+00:00
1648854000;-3;NORMAL;0.21;2022-04-01 23:00:00+00:00
1648857600;-3;NORMAL;0.09;2022-04-02 00:00:00+00:00
1648861128;-3;LOW;0.04;2022-04-02 00:58:48+00:00
1648861200;-3;NORMAL;0.04;2022-04-02 01:00:00+00:00
1648864800;-3;NORMAL;0.13;2022-04-02 02:00:00+00:00
1648868400;-3;NORMAL;0.34;2022-04-02 03:00:00+00:00
1648872000;-3;NORMAL;0.57;2022-04-02 04:00:00+00:00
1648875600;-3;NORMAL;0.75;2022-04-02 05:00:00+00:00
1648879111;-3;HIGH;0.81;2022-04-02 05:58:31+00:00
1648879200;-3;NORMAL;0.81;2022-04-02 06:00:00+00:00
1648882800;-3;NORMAL;0.76;2022-04-02 07:00:00+00:00
1648886400;-3;NORMAL;0.64;2022-04-02 08:00:00+00:00
1648890000;-3;NORMAL;0.49;2022-04-02 09:00:00+00:00
1648893600;-3;NORMAL;0.37;2022-04-02 10:00:00+00:00
1648897200;-3;NORMAL;0.26;2022-04-02 11:00:00+00:00
1648900800;-3;NORMAL;0.16;2022-04-02 12:00:00+00:00
1648904400;-3;NORMAL;0.11;2022-04-02 13:00:00+00:00
1648904492;-3;LOW;0.11;2022-04-02 13:01:32+00:00
1648908000;-3;NORMAL;0.18;2022-04-02 14:00:00+00:00
