time,wave_height,wave_period,wind_wave_peak_period,wave_direction,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,secondary_swell_wave_height,secondary_swell_wave_period,secondary_swell_wave_direction,sea_level_height_msl,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,invert_barometer_height
2025-05-27 00:00:00,1.06,8.2,,87,0.1,352,0.85,1.02,86,6.55,,0.14,13.7,-62,-0.2,21.7,0.3,135,-0.06
2025-05-27 01:00:00,1.06,8.15,,86,0.12,351,1.05,1.02,85,6.55,,0.14,13.8,-62,-0.13,21.7,0.3,135,-0.06
2025-05-27 02:00:00,1.04,8.1,,85,0.12,351,1.45,1.0,85,6.5,,0.14,13.45,-63,-0.02,21.6,0.3,135,-0.05
2025-05-27 03:00:00,1.04,8.05,,84,0.14,350,1.75,1.0,84,6.5,,0.14,13.1,-63,0.06,21.6,0.3,135,-0.05
2025-05-27 04:00:00,1.04,8.0,,83,0.14,348,1.8,1.0,83,6.45,,0.14,12.95,-63,0.05,21.6,0.3,135,-0.05
2025-05-27 05:00:00,1.04,7.95,,83,0.14,347,1.75,1.02,83,6.4,,0.14,12.9,-64,0.0,21.5,0.3,135,-0.05
2025-05-27 06:00:00,1.04,7.9,,82,0.14,345,1.75,1.02,82,6.4,,0.14,12.8,-64,-0.07,21.5,0.3,135,-0.04
2025-05-27 07:00:00,1.04,7.85,,81,0.16,347,1.8,1.02,81,6.4,,0.14,12.7,-64,-0.15,21.5,0.3,135,-0.04
2025-05-27 08:00:00,1.04,7.85,,80,0.16,350,1.85,1.0,81,6.45,,0.14,12.65,-63,-0.24,21.5,0.2,180,-0.03
2025-05-27 09:00:00,1.04,7.85,,79,0.18,352,1.9,1.0,80,6.45,,0.14,12.6,-63,-0.33,21.5,0.4,180,-0.03
2025-05-27 10:00:00,1.04,7.85,,79,0.2,355,1.9,1.0,80,6.45,,0.14,12.9,-63,-0.41,21.5,0.4,180,-0.03
2025-05-27 11:00:00,1.06,7.85,,78,0.2,357,1.9,1.02,79,6.5,,0.14,13.15,-63,-0.45,21.5,0.4,180,-0.04
2025-05-27 12:00:00,1.06,7.85,,78,0.22,0,1.95,1.02,79,6.5,,0.14,12.55,-63,-0.42,21.5,0.5,180,-0.04
2025-05-27 13:00:00,1.1,7.85,,77,0.26,3,2.0,1.04,79,6.55,,0.14,10.1,-100,-0.29,21.5,0.5,180,-0.04
2025-05-27 14:00:00,1.12,7.85,,75,0.3,7,2.1,1.04,79,6.6,,0.12,6.7,-138,-0.1,21.6,0.5,180,-0.04
2025-05-27 15:00:00,1.16,7.8,,74,0.34,10,2.2,1.06,79,6.65,,0.12,4.25,-175,0.1,21.7,0.7,180,-0.03
2025-05-27 16:00:00,1.16,7.75,,74,0.36,13,2.3,1.06,79,6.65,,0.12,3.7,-172,0.22,21.8,0.7,180,-0.03
2025-05-27 17:00:00,1.16,7.65,,73,0.4,17,2.45,1.06,80,6.65,,0.12,4.1,-170,0.27,21.9,0.7,180,-0.02
2025-05-27 18:00:00,1.16,7.6,,73,0.42,20,2.5,1.06,80,6.65,,0.12,4.45,-167,0.28,21.9,0.7,194,-0.01
2025-05-27 19:00:00,1.16,7.6,,74,0.38,18,2.5,1.08,79,6.6,,0.12,4.45,-167,0.26,21.9,0.7,194,0.0
2025-05-27 20:00:00,1.18,7.6,,74,0.36,15,2.4,1.1,78,6.5,,0.14,4.45,-166,0.2,22.0,0.7,180,0.0
2025-05-27 21:00:00,1.18,7.65,,75,0.32,13,2.3,1.12,77,6.45,,0.14,4.45,-166,0.1,22.0,0.7,180,-0.02
2025-05-27 22:00:00,1.2,7.8,,76,0.28,11,2.15,1.14,77,6.45,,0.14,4.35,-163,-0.01,22.0,0.5,180,-0.02
2025-05-27 23:00:00,1.22,7.95,,76,0.22,10,1.95,1.16,76,6.5,,0.14,4.3,-161,-0.1,21.9,0.5,180,-0.02
2025-05-28 00:00:00,1.24,8.05,,77,0.18,8,1.8,1.18,76,6.55,,0.14,4.25,-158,-0.15,21.9,0.5,180,-0.02
2025-05-28 01:00:00,1.22,8.05,,77,0.2,7,1.8,1.18,76,6.55,,0.14,4.3,-155,-0.15,21.9,0.5,180,-0.02
2025-05-28 02:00:00,1.22,8.0,,77,0.2,6,1.9,1.16,76,6.5,,0.12,4.45,-152,-0.1,21.9,0.5,180,-0.01
2025-05-28 03:00:00,1.2,7.95,,77,0.22,5,2.0,1.16,76,6.5,,0.12,4.7,-149,-0.01,21.9,0.4,180,-0.01
2025-05-28 04:00:00,1.22,7.9,,76,0.24,4,2.1,1.16,76,6.5,,0.12,5.2,-113,0.02,21.8,0.5,180,-0.01
2025-05-28 05:00:00,1.22,7.9,,75,0.28,3,2.15,1.16,75,6.55,,0.12,5.8,-76,0.0,21.8,0.5,180,0.0
